Feature group,Feature name,Definition / formula,Input image or mask,Normalization denominator,Key parameters,Notes
Gray-level statistics,Mean,Arithmetic mean of ROI intensity values.,Gaussian-smoothed UV-PAM ROI intensities,,Gaussian sigma = 0.8,
Gray-level statistics,StdDev,Standard deviation of ROI intensity values.,Gaussian-smoothed UV-PAM ROI intensities,,Gaussian sigma = 0.8,
Gray-level statistics,Median,Median of ROI intensity values.,Gaussian-smoothed UV-PAM ROI intensities,,Gaussian sigma = 0.8,
Gray-level statistics,Min,Minimum ROI intensity value.,Gaussian-smoothed UV-PAM ROI intensities,,Gaussian sigma = 0.8,
Gray-level statistics,Max,Maximum ROI intensity value.,Gaussian-smoothed UV-PAM ROI intensities,,Gaussian sigma = 0.8,
Gray-level statistics,P10,10th percentile of ROI intensity values.,Gaussian-smoothed UV-PAM ROI intensities,,Gaussian sigma = 0.8,
Gray-level statistics,P25,25th percentile of ROI intensity values.,Gaussian-smoothed UV-PAM ROI intensities,,Gaussian sigma = 0.8,
Gray-level statistics,P75,75th percentile of ROI intensity values.,Gaussian-smoothed UV-PAM ROI intensities,,Gaussian sigma = 0.8,
Gray-level statistics,P90,90th percentile of ROI intensity values.,Gaussian-smoothed UV-PAM ROI intensities,,Gaussian sigma = 0.8,
Gray-level statistics,IQR,"Interquartile range, P75 - P25.",Gaussian-smoothed UV-PAM ROI intensities,,Gaussian sigma = 0.8,
Gray-level statistics,Skewness,Third standardized moment of ROI intensity distribution.,Gaussian-smoothed UV-PAM ROI intensities,,Gaussian sigma = 0.8,
Gray-level statistics,Kurtosis,Fourth standardized moment excess/shape descriptor of ROI intensity distribution.,Gaussian-smoothed UV-PAM ROI intensities,,Gaussian sigma = 0.8,
Gray-level statistics,GrayEntropy,Entropy of the ROI gray-level histogram.,Gaussian-smoothed UV-PAM ROI intensities,,Gaussian sigma = 0.8,
GLCM texture,GLCM_contrast,Haralick/GLCM contrast from normalized gray-level co-occurrence matrices.,Quantized Gaussian-smoothed UV-PAM ROI intensities,,"32 gray levels; distances = 1, 2 px; angles = 0°, 45°, 90°, 135°; symmetric=True; normed=True; properties averaged across distance-angle matrices.",
